rep,k,n_lambda,mu,sigma,min_size,filename,maxima
1,5,50,50,17,10,rep1_k5_lambda50_mu50,78.7005259969365
1,5,50,50,17,10,rep1_k5_lambda50_mu50,77.712015125357
1,5,50,50,17,10,rep1_k5_lambda50_mu50,87.77300283089
1,5,50,50,17,10,rep1_k5_lambda50_mu50,79.4153851631808
1,5,50,100,34,10,rep1_k5_lambda50_mu100,205.166023123067
1,5,50,100,34,10,rep1_k5_lambda50_mu100,163.565379224685
1,5,50,100,34,10,rep1_k5_lambda50_mu100,167.078306164963
1,5,50,100,34,10,rep1_k5_lambda50_mu100,191.315915510277
1,5,50,100,34,10,rep1_k5_lambda50_mu100,169.1508841833
1,5,200,20,6.8,10,rep1_k5_lambda200_mu20,39.9307905355362
1,5,200,20,6.8,10,rep1_k5_lambda200_mu20,39.1706115264947
1,5,200,20,6.8,10,rep1_k5_lambda200_mu20,38.9242443297841
1,5,200,20,6.8,10,rep1_k5_lambda200_mu20,36.5000590733853
1,5,200,20,6.8,10,rep1_k5_lambda200_mu20,36.7130700133979
1,5,200,50,17,10,rep1_k5_lambda200_mu50,96.9498144151872
1,5,200,50,17,10,rep1_k5_lambda200_mu50,95.3979619837075
1,5,200,50,17,10,rep1_k5_lambda200_mu50,84.6957073546737
1,5,200,50,17,10,rep1_k5_lambda200_mu50,102.207078004167
1,5,200,50,17,10,rep1_k5_lambda200_mu50,88.0082914090039
1,5,200,100,34,10,rep1_k5_lambda200_mu100,178.268466786647
1,5,200,100,34,10,rep1_k5_lambda200_mu100,198.61039623627
1,5,200,100,34,10,rep1_k5_lambda200_mu100,217.386307078842
1,5,200,100,34,10,rep1_k5_lambda200_mu100,218.100458522048
1,5,200,100,34,10,rep1_k5_lambda200_mu100,196.363843329532
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,40.7494965979804
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,42.5749391883412
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,41.8786433269738
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,41.9698187469932
1,5,2000,20,6.8,10,rep1_k5_lambda2000_mu20,46.6093513778927
1,5,2000,50,17,10,rep1_k5_lambda2000_mu50,108.132071892882
1,5,2000,50,17,10,rep1_k5_lambda2000_mu50,115.387327777904
1,5,2000,50,17,10,rep1_k5_lambda2000_mu50,101.510435315296
1,5,2000,50,17,10,rep1_k5_lambda2000_mu50,102.124221010782
1,5,2000,50,17,10,rep1_k5_lambda2000_mu50,113.489953999912
1,5,2000,100,34,10,rep1_k5_lambda2000_mu100,212.219629219919
1,5,2000,100,34,10,rep1_k5_lambda2000_mu100,216.003590924645
1,5,2000,100,34,10,rep1_k5_lambda2000_mu100,199.276755259251
1,5,2000,100,34,10,rep1_k5_lambda2000_mu100,225.091496341213
1,5,2000,100,34,10,rep1_k5_lambda2000_mu100,214.655160086998
1,5,10000,20,6.8,10,rep1_k5_lambda10000_mu20,43.5018190821767
1,5,10000,20,6.8,10,rep1_k5_lambda10000_mu20,43.8333890445307
1,5,10000,20,6.8,10,rep1_k5_lambda10000_mu20,44.9723629929085
1,5,10000,20,6.8,10,rep1_k5_lambda10000_mu20,46.766221608059
1,5,10000,20,6.8,10,rep1_k5_lambda10000_mu20,48.3586338176402
1,5,10000,50,17,10,rep1_k5_lambda10000_mu50,107.239241646815
1,5,10000,50,17,10,rep1_k5_lambda10000_mu50,115.708951073813
1,5,10000,50,17,10,rep1_k5_lambda10000_mu50,122.427930260817
1,5,10000,50,17,10,rep1_k5_lambda10000_mu50,115.980896647593
1,5,10000,50,17,10,rep1_k5_lambda10000_mu50,113.279183977111
1,5,10000,100,34,10,rep1_k5_lambda10000_mu100,226.965808214644
1,5,10000,100,34,10,rep1_k5_lambda10000_mu100,220.780049743208
1,5,10000,100,34,10,rep1_k5_lambda10000_mu100,219.707832710892
1,5,10000,100,34,10,rep1_k5_lambda10000_mu100,216.703312382047
1,5,10000,100,34,10,rep1_k5_lambda10000_mu100,234.678837344999
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,36.2164032494145
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,30.9200577978701
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,34.4680382003553
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,29.4043959725176
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,31.7992796046736
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,33.442380761426
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,34.280770521871
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,35.2445991870824
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,33.7214840054692
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,30.058544661792
1,10,30,50,17,10,rep1_k10_lambda30_mu50,77.4199850975345
1,10,30,50,17,10,rep1_k10_lambda30_mu50,94.6458534491866
1,10,30,50,17,10,rep1_k10_lambda30_mu50,72.3372225871389
1,10,30,50,17,10,rep1_k10_lambda30_mu50,92.3294437861948
1,10,30,50,17,10,rep1_k10_lambda30_mu50,101.886340690984
1,10,30,50,17,10,rep1_k10_lambda30_mu50,90.8079360931945
1,10,30,50,17,10,rep1_k10_lambda30_mu50,93.4915489471445
1,10,30,50,17,10,rep1_k10_lambda30_mu50,76.5803114392818
1,10,30,50,17,10,rep1_k10_lambda30_mu50,73.8564423611019
1,10,30,50,17,10,rep1_k10_lambda30_mu50,93.8352685908607
1,10,30,100,34,10,rep1_k10_lambda30_mu100,189.434625762912
1,10,30,100,34,10,rep1_k10_lambda30_mu100,151.26555186417
1,10,30,100,34,10,rep1_k10_lambda30_mu100,184.166970736876
1,10,30,100,34,10,rep1_k10_lambda30_mu100,162.246574685506
1,10,30,100,34,10,rep1_k10_lambda30_mu100,147.980546555123
1,10,30,100,34,10,rep1_k10_lambda30_mu100,151.727701961085
1,10,30,100,34,10,rep1_k10_lambda30_mu100,158.032266582126
1,10,30,100,34,10,rep1_k10_lambda30_mu100,170.540452031879
1,10,30,100,34,10,rep1_k10_lambda30_mu100,127.738662321744
1,10,30,100,34,10,rep1_k10_lambda30_mu100,186.824934461017
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,31.7325540842367
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,40.025622397194
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,36.2477762420575
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,35.4665914488222
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,30.8430577454292
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,36.2637138186313
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,33.2500456653362
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,36.2678981714263
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,40.5322019025942
1,10,50,20,6.8,10,rep1_k10_lambda50_mu20,32.516673405271
1,10,50,50,17,10,rep1_k10_lambda50_mu50,87.5613557736256
1,10,50,50,17,10,rep1_k10_lambda50_mu50,94.4871928867515
1,10,50,50,17,10,rep1_k10_lambda50_mu50,90.4229890159205
1,10,50,50,17,10,rep1_k10_lambda50_mu50,98.4919345278614
1,10,50,50,17,10,rep1_k10_lambda50_mu50,90.7776006424829
1,10,50,50,17,10,rep1_k10_lambda50_mu50,95.0684645162261
1,10,50,50,17,10,rep1_k10_lambda50_mu50,83.8612084922584
1,10,50,50,17,10,rep1_k10_lambda50_mu50,87.469740654371
1,10,50,50,17,10,rep1_k10_lambda50_mu50,94.7681692795932
1,10,50,50,17,10,rep1_k10_lambda50_mu50,99.8948486325087
1,10,50,100,34,10,rep1_k10_lambda50_mu100,185.195204305964
1,10,50,100,34,10,rep1_k10_lambda50_mu100,159.285731650044
1,10,50,100,34,10,rep1_k10_lambda50_mu100,154.223386871055
1,10,50,100,34,10,rep1_k10_lambda50_mu100,155.878796763955
1,10,50,100,34,10,rep1_k10_lambda50_mu100,201.455542690002
1,10,50,100,34,10,rep1_k10_lambda50_mu100,187.055108964971
1,10,50,100,34,10,rep1_k10_lambda50_mu100,168.602477593332
1,10,50,100,34,10,rep1_k10_lambda50_mu100,171.984967364326
1,10,50,100,34,10,rep1_k10_lambda50_mu100,186.350244970814
1,10,50,100,34,10,rep1_k10_lambda50_mu100,195.808735340515
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,39.8505572008822
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,38.2015411254182
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,41.0523269063096
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,39.4406400300347
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,36.0060820500172
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,38.4394787662805
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,34.8199384285681
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,31.9011581202444
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,41.6089964809323
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,39.6757007296546
1,10,200,50,17,10,rep1_k10_lambda200_mu50,96.7268118714012
1,10,200,50,17,10,rep1_k10_lambda200_mu50,95.2637975801667
1,10,200,50,17,10,rep1_k10_lambda200_mu50,95.1108006936983
1,10,200,50,17,10,rep1_k10_lambda200_mu50,87.7045651263735
1,10,200,50,17,10,rep1_k10_lambda200_mu50,99.353703872624
1,10,200,50,17,10,rep1_k10_lambda200_mu50,89.0472292381487
1,10,200,50,17,10,rep1_k10_lambda200_mu50,104.732781825646
1,10,200,50,17,10,rep1_k10_lambda200_mu50,104.748044182711
1,10,200,50,17,10,rep1_k10_lambda200_mu50,107.172737788699
1,10,200,50,17,10,rep1_k10_lambda200_mu50,94.1611214362268
1,10,200,100,34,10,rep1_k10_lambda200_mu100,189.175111388746
1,10,200,100,34,10,rep1_k10_lambda200_mu100,187.409142483948
1,10,200,100,34,10,rep1_k10_lambda200_mu100,182.237080327633
1,10,200,100,34,10,rep1_k10_lambda200_mu100,203.578880466131
1,10,200,100,34,10,rep1_k10_lambda200_mu100,187.292902885207
1,10,200,100,34,10,rep1_k10_lambda200_mu100,201.707916737806
1,10,200,100,34,10,rep1_k10_lambda200_mu100,189.970531070245
1,10,200,100,34,10,rep1_k10_lambda200_mu100,177.468642982651
1,10,200,100,34,10,rep1_k10_lambda200_mu100,202.985003067921
1,10,200,100,34,10,rep1_k10_lambda200_mu100,196.42530834276
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,40.4747019032799
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,43.7959928490959
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,45.3302361389156
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,41.3660852380359
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,42.39293372462
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,39.1340384802752
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,42.6240292354326
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,42.3472943725555
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,44.6037301827071
1,10,2000,20,6.8,10,rep1_k10_lambda2000_mu20,45.1432335850998
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,112.273817107143
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,100.019113917946
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,118.567730564823
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,104.346936894163
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,123.330751028845
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,107.681350601278
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,99.1980640359085
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,107.490660264977
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,112.063783378599
1,10,2000,50,17,10,rep1_k10_lambda2000_mu50,104.467366775887
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,204.115219044994
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,227.683018482914
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,219.803615067447
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,211.803183756593
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,212.220021599512
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,231.484620277921
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,224.297004823573
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,213.326264665595
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,212.317344649442
1,10,2000,100,34,10,rep1_k10_lambda2000_mu100,203.632456480326
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,49.1868689555469
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,45.0043066180035
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,50.8521817836419
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,47.7132697447913
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,44.904546305659
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,56.1972537292842
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,46.6895296414241
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,43.859446678368
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,46.5008134716354
1,10,10000,20,6.8,10,rep1_k10_lambda10000_mu20,45.4196064877955
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,118.82157519288
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,124.705918885374
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,108.994126413291
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,112.358009252812
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,118.50995719867
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,113.125415097248
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,121.065607004315
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,113.573154823225
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,115.976205933282
1,10,10000,50,17,10,rep1_k10_lambda10000_mu50,112.493041509763
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,231.897841128319
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,236.226654160189
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,231.615563820947
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,226.009217717387
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,228.757743269379
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,246.153074892919
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,232.459380396702
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,221.656848398704
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,224.634382782315
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,238.67609601027
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,33.7977836675092
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,34.6293697896467
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,34.2945963018156
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,31.2826882826014
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,34.5953500151548
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,30.3830145670954
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,40.4483390363297
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,39.3103960156338
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,30.6529022371278
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,28.9618797722204
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,35.7041143907471
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,31.53775864094
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,38.9138743714427
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,35.7172530348
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,39.2406093136115
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,34.2656115622515
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,29.1233380539739
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,36.2583255947118
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,38.7250822670753
1,20,30,20,6.8,10,rep1_k20_lambda30_mu20,36.4392828315572
1,20,30,50,17,10,rep1_k20_lambda30_mu50,79.2887179268067
1,20,30,50,17,10,rep1_k20_lambda30_mu50,80.1898603898965
1,20,30,50,17,10,rep1_k20_lambda30_mu50,83.0384144203986
1,20,30,50,17,10,rep1_k20_lambda30_mu50,80.0450381009293
1,20,30,50,17,10,rep1_k20_lambda30_mu50,107.459469982681
1,20,30,50,17,10,rep1_k20_lambda30_mu50,77.774288517354
1,20,30,50,17,10,rep1_k20_lambda30_mu50,77.9231900889091
1,20,30,50,17,10,rep1_k20_lambda30_mu50,73.8534375113859
1,20,30,50,17,10,rep1_k20_lambda30_mu50,89.6295596333116
1,20,30,50,17,10,rep1_k20_lambda30_mu50,79.0047355702582
1,20,30,50,17,10,rep1_k20_lambda30_mu50,88.7714000027107
1,20,30,50,17,10,rep1_k20_lambda30_mu50,88.9589475228614
1,20,30,50,17,10,rep1_k20_lambda30_mu50,88.7123594501364
1,20,30,50,17,10,rep1_k20_lambda30_mu50,89.6370143128285
1,20,30,50,17,10,rep1_k20_lambda30_mu50,83.3806249074093
1,20,30,50,17,10,rep1_k20_lambda30_mu50,82.2998611157166
1,20,30,50,17,10,rep1_k20_lambda30_mu50,90.3967427155625
1,20,30,50,17,10,rep1_k20_lambda30_mu50,80.8824556409672
1,20,30,50,17,10,rep1_k20_lambda30_mu50,75.0847963216309
1,20,30,50,17,10,rep1_k20_lambda30_mu50,94.6449196172333
1,20,30,100,34,10,rep1_k20_lambda30_mu100,155.757842972366
1,20,30,100,34,10,rep1_k20_lambda30_mu100,170.311553978939
1,20,30,100,34,10,rep1_k20_lambda30_mu100,174.736133212087
1,20,30,100,34,10,rep1_k20_lambda30_mu100,157.541369322426
1,20,30,100,34,10,rep1_k20_lambda30_mu100,162.982893185017
1,20,30,100,34,10,rep1_k20_lambda30_mu100,152.198727511535
1,20,30,100,34,10,rep1_k20_lambda30_mu100,167.296898062448
1,20,30,100,34,10,rep1_k20_lambda30_mu100,147.38563045939
1,20,30,100,34,10,rep1_k20_lambda30_mu100,166.994521774558
1,20,30,100,34,10,rep1_k20_lambda30_mu100,182.308832252402
1,20,30,100,34,10,rep1_k20_lambda30_mu100,154.448390217791
1,20,30,100,34,10,rep1_k20_lambda30_mu100,147.362851983545
1,20,30,100,34,10,rep1_k20_lambda30_mu100,163.657582986851
1,20,30,100,34,10,rep1_k20_lambda30_mu100,206.58853587627
1,20,30,100,34,10,rep1_k20_lambda30_mu100,164.811214891765
1,20,30,100,34,10,rep1_k20_lambda30_mu100,160.78117135788
1,20,30,100,34,10,rep1_k20_lambda30_mu100,189.961095465141
1,20,30,100,34,10,rep1_k20_lambda30_mu100,162.759469155068
1,20,30,100,34,10,rep1_k20_lambda30_mu100,185.871125650515
1,20,30,100,34,10,rep1_k20_lambda30_mu100,161.043711127632
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,33.8980641764932
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,32.3923078282211
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,35.5391864945376
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,32.5661945306617
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,37.9965345869253
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,35.3940614743714
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,34.1869231445896
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,32.5993031265589
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,41.7270542223697
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,35.9048029385145
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,35.9866536987747
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,30.6523284178384
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,34.7214185076466
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,34.9180120525079
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,34.2465290536363
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,39.8210942493778
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,37.6509592567177
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,30.9917641606447
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,36.3124810099256
1,20,50,20,6.8,10,rep1_k20_lambda50_mu20,31.9513366910889
1,20,50,50,17,10,rep1_k20_lambda50_mu50,81.7768502279961
1,20,50,50,17,10,rep1_k20_lambda50_mu50,72.4731403538142
1,20,50,50,17,10,rep1_k20_lambda50_mu50,92.1854870537156
1,20,50,50,17,10,rep1_k20_lambda50_mu50,79.4644863142475
1,20,50,50,17,10,rep1_k20_lambda50_mu50,91.1462795098079
1,20,50,50,17,10,rep1_k20_lambda50_mu50,89.5009514483354
1,20,50,50,17,10,rep1_k20_lambda50_mu50,91.4947114052368
1,20,50,50,17,10,rep1_k20_lambda50_mu50,98.6832587652836
1,20,50,50,17,10,rep1_k20_lambda50_mu50,90.9482328841735
1,20,50,50,17,10,rep1_k20_lambda50_mu50,77.2173041859729
1,20,50,50,17,10,rep1_k20_lambda50_mu50,89.7311069313442
1,20,50,50,17,10,rep1_k20_lambda50_mu50,88.2138026116614
1,20,50,50,17,10,rep1_k20_lambda50_mu50,83.7892293814367
1,20,50,50,17,10,rep1_k20_lambda50_mu50,89.0165902015365
1,20,50,50,17,10,rep1_k20_lambda50_mu50,90.0631244677577
1,20,50,50,17,10,rep1_k20_lambda50_mu50,89.1136634051645
1,20,50,50,17,10,rep1_k20_lambda50_mu50,93.7670413918766
1,20,50,50,17,10,rep1_k20_lambda50_mu50,99.9756121454348
1,20,50,50,17,10,rep1_k20_lambda50_mu50,81.0958665933651
1,20,50,50,17,10,rep1_k20_lambda50_mu50,88.9559523213761
1,20,50,100,34,10,rep1_k20_lambda50_mu100,186.44103311654
1,20,50,100,34,10,rep1_k20_lambda50_mu100,164.843925706273
1,20,50,100,34,10,rep1_k20_lambda50_mu100,168.914094007477
1,20,50,100,34,10,rep1_k20_lambda50_mu100,149.207878414138
1,20,50,100,34,10,rep1_k20_lambda50_mu100,163.204090187041
1,20,50,100,34,10,rep1_k20_lambda50_mu100,177.035199018177
1,20,50,100,34,10,rep1_k20_lambda50_mu100,171.133185288135
1,20,50,100,34,10,rep1_k20_lambda50_mu100,174.506874070335
1,20,50,100,34,10,rep1_k20_lambda50_mu100,180.9692642911
